Caption,IP_Address,Category,Community,ObjectSubType,Vendor,City,sha1(City)
ADC-FW01-Admin-Stby,10.30.140.4,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-CORE-SW01,10.30.140.5,1,,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-CORE-SW02,10.30.140.6,1,,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-MGMT-SW01,10.30.140.14,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-PROD-LB-01,10.30.140.7,1,notpublic79,SNMP,"F5 Networks, Inc.",ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-PROD-LB-02,10.30.140.8,1,notpublic79,SNMP,"F5 Networks, Inc.",ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
NYC-INETFW01-1/pri,10.55.8.17,1,notpublic79,SNMP,Cisco,NYC,0751512C26DA66829810D3304DD63BC337EDAB29
NYC-WAN-RTR01,10.55.8.49,1,notpublic79,SNMP,Cisco,NYC,0751512C26DA66829810D3304DD63BC337EDAB29
tc-nyc-wap02,10.55.10.9,0,,ICMP,Unknown,NYC,0751512C26DA66829810D3304DD63BC337EDAB29
LDC-M-RTR01,10.80.140.73,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
ADC-FW01-Inet-Stby,10.30.0.34,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Inet,10.30.0.33,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Dev-Inet,10.30.2.6,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Dev-Inet-Stby,10.30.2.7,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Appdb,10.30.136.1,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Appdb-Stby,10.30.136.2,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
SCH-CORE-SW01.travelclick.com,10.50.99.2,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
bcn-access-sw05,10.55.33.24,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
bcn-print-sw01,10.55.33.25,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
tc-atl-fw01-pri,10.55.24.17,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ATL-OFC-WAN-RTR01,10.55.24.49,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
tc-atl.cogent-rtr,38.122.46.46,1,,ICMP,Unknown,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ATL-OFC-CORE-SW01,10.55.24.19,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ATL-I-RTR01,10.55.24.14,1,,ICMP,Unknown,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
SCH-D-RTR01,10.50.3.49,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
bcn-d-rtr01(MPLS and DMVPN),10.55.32.49,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
ATL-ESX Server,10.55.26.45,0,,ICMP,VMware Inc.,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ATL-SW03-floor36,10.55.26.11,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
tc-atl-sw04-floor36,10.55.26.12,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
LDC-FW01-Inet,10.80.2.1,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-FW01-Admin,10.80.140.3,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-FW01-Dev-Inet,10.80.2.6,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-CORE-SW02,10.80.140.6,1,,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-C-RTR01,10.80.140.20,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
ATL-SW01-floor35,10.55.26.13,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
LDC-PROD-LB-01,10.80.140.7,1,notpublic79,SNMP,"F5 Networks, Inc.",LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-PROD-LB-02,10.80.140.8,1,notpublic79,SNMP,"F5 Networks, Inc.",LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-FW01-Dev-Appdb,10.82.2.71,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-I-RTR02,10.80.140.11,1,tcldcgram4r0,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-I-RTR01,10.80.140.10,1,tcldcgram4r0,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-PRE-CORE-SW01,192.168.100.130,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
atl-wlc01,10.55.26.6,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ADC-A08-PDU02,10.30.137.61,0,,ICMP,Unknown,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A08-PDU01,10.30.137.62,1,notpublic79,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A07-PDU01,10.30.137.64,1,private,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A06-PDU02,10.30.137.65,1,private,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A06-PDU01,10.30.137.66,1,private,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A10-PDU02,10.30.137.69,1,notpublic79,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-A10-PDU01,10.30.137.70,1,notpublic79,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
SCH-FW-PRI,10.50.4.4,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
bcn-d-rtr02,10.55.32.22,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
bcn-access-sw03,10.55.33.21,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
tc-atl-mplsrtr01,10.55.24.1,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ATL-Office-Inet-Cogent-Link-Primary,38.122.46.46,1,,ICMP,Unknown,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
ORL-Core B (Meraki),10.55.48.9,0,notpublic79,SNMP,"Meraki Networks, Inc.",Orlando,4002033B8D915DD85690DBA6971E49BFB3466EDC
ADC-VPN-FW01,10.30.2.11,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
sng-inetfw01-1,10.55.64.17,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
SNG-CORE-SW01,10.55.64.19,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
sng-d-rtr01,10.55.64.49,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
sng-access-sw02,10.55.65.4,0,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
sng-wlc,10.55.65.6,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
SCH-CORP-ACC-SW25,10.50.99.25,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW26,10.50.99.26,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
tc-atl-fw01-stby,10.55.24.18,1,notpublic79,SNMP,Cisco,ATL,7E00FE0663EA51513F7568B668CBA7ADE7160281
SCH-FW-STBY,10.50.4.5,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
ADC-VPN-FW01-stby,10.30.2.12,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ORL-SW02-Meraki,10.55.49.14,0,notpublic79,SNMP,"Meraki Networks, Inc.",Orlando,4002033B8D915DD85690DBA6971E49BFB3466EDC
LDC-FW03-GramTel,209.242.64.129,0,,ICMP,Unknown,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-EDGE-SW01,10.80.140.21,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-EDGE-SW02,10.80.140.22,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
OLD-LDC-PROD-LB-01,10.10.12.4,1,notpublic79,SNMP,"F5 Networks, Inc.",LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
OLD-LDC-PROD-LB-02,10.10.12.6,1,notpublic79,SNMP,"F5 Networks, Inc.",LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
LDC-VPN-FW05-stby,10.80.2.11,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
rack3-pdu1,10.30.137.71,1,notpublic79,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
rack3-pdu2,10.30.137.72,1,notpublic79,SNMP,American Power Conversion Corp.,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
LDC-Internet-Link-CyrusOne,10.80.140.10,1,tcldcgram4r0,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-D-RTR01- Zayo,10.80.140.68,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
qts-ucs-4451,10.30.140.18,0,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
LDC-D-RTR02 DMVPN,10.80.140.69,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-MGMT-SW03,10.80.140.14,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-MGMT-SW04,10.80.140.23,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
SCH-CORP-ACC-SW27,10.50.99.27,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW28,10.50.99.28,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW29,10.50.99.29,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW30,10.50.99.30,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
LDC-FW01-ADMIN-stby,10.80.140.4,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-VPN-FW05,10.80.2.10,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
ADC-DEV-LB,10.30.64.38,1,notpublic79,SNMP,"F5 Networks, Inc.",ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
LDC-DEV-LB,10.80.64.38,1,notpublic79,SNMP,"F5 Networks, Inc.",LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomsansw01,10.80.41.11,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomsansw02,10.80.41.12,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomsansw05,10.80.41.15,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomsansw06,10.80.41.16,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
atlsansw01,10.30.41.11,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
atlsansw02,10.30.41.12,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
lomucs01-A,10.80.42.11,0,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomucs01-B,10.80.42.13,0,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
orion.travelclick.net,10.30.137.125,2,,WMI,Windows,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
lomucs02-B,10.80.43.12,0,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
atlucs02-A,10.30.43.11,0,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
VoIP-SCH-Asterisk-Server,10.50.20.22,0,,ICMP,Unknown,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
MEL-D-RTR01,10.55.80.49,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
MEL-ACCSW02-CECIL_ST,10.55.81.9,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
MEL-ACC-SW01,10.55.81.15,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
MEL-WLC01,10.55.81.6,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
MEL-INETFW01-1,10.55.80.17,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
MEL-CORESW01,10.55.80.19,1,notpublic79,SNMP,Cisco,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
ldc-ucs.travelclick.net,10.80.140.18,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
lomucs02-A,10.80.43.11,0,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
nycesx01.travelclick.net,10.55.10.50,0,,ICMP,Unknown,NYC,0751512C26DA66829810D3304DD63BC337EDAB29
bcn-access-sw04,10.55.33.23,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
ADC-M-RTR01,10.30.140.20,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
sng-access-sw01,10.55.65.5,0,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
sng-d-rtr02,10.55.64.22,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
SNG-Inet-Public,118.201.62.238,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
sng-inetfw01-2,10.55.64.18,1,notpublic79,SNMP,Cisco,SNG,4FFD150C3CA81A658EA1F159241978EF281150B8
lomucs03-A,10.80.44.11,0,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
bcn-level3-public,193.240.171.18,0,,ICMP,Unknown,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
PTP250_WIFI-Bridge-master,10.55.33.37,0,notpublic79,SNMP,PipingHot Networks Limited,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
VoIP-NYC Asterisk Server,10.55.10.10,0,,ICMP,Unknown,NYC,0751512C26DA66829810D3304DD63BC337EDAB29
RACK13-MGMT-SW01,10.30.140.25,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ORL-D-RTR02,10.55.48.3,1,notpublic79,SNMP,Cisco,ORL,F12E111CDA1E4D4690DD3337331FC0968CC4385C
atlsansw04,10.30.41.14,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
atlucs02-b.gain.tcprod.local,10.30.43.12,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
atlsansw03,10.30.41.13,1,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
atlucs03-B,10.30.44.12,0,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
atlucs03-A,10.30.44.13,0,notpublic79,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
LDC-RACK-L21-PDU-A,10.80.137.83,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L21-PDU-B,10.80.137.84,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L22-PDU-A,10.80.137.85,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L22-PDU-B,10.80.137.86,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L23-PDU-A,10.80.137.87,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L12-PDU-A,10.80.137.65,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L12-PDU-B,10.80.137.66,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L13-PDU-A,10.80.137.67,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L13-PDU-B,10.80.137.68,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L14-PDU-A,10.80.137.69,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L14-PDU-B,10.80.137.70,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L15-PDU-A,10.80.137.71,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L15-PDU-B,10.80.137.72,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L16-PDU-A,10.80.137.73,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L16-PDU-B,10.80.137.74,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L20-PDU-A,10.80.137.81,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L23-PDU-B,10.80.137.88,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L24-PDU-A,10.80.137.89,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L24-PDU-B,10.80.137.90,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L25-PDU-A,10.80.137.91,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L25-PDU-B,10.80.137.92,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-RACK-L26-PDU-A,10.80.137.93,1,notpublic79,SNMP,American Power Conversion Corp.,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
