VS Name, VS IP address, Total Connections
vs_cmideas-d1.travelclick.com_443,10.30.72.88:https,1387
vs_cmideas-s1.travelclick.com_80,10.30.72.54:http,12371
vs_cmideas-s1.travelclick.com_443,10.30.72.54:https,16290
vs_cmideas-test.travelclick.com_80,10.30.72.40:http,707
vs_cmideas-test.travelclick.com_443,10.30.72.40:https,868
vs_cmjoin-c1.travelclick.net_80,10.30.73.56:http,30
vs_cmjoin-c1.travelclick.net_443,10.30.73.56:https,202
vs_cmjoin-l1.travelclick.net_80,10.30.73.34:http,12444
vs_cmjoin-l1.travelclick.net_443,10.30.73.34:https,24192
vs_cmjoin-s1.travelclick.com_80,10.30.72.58:http,15348
vs_cmjoin-s1.travelclick.com_443,10.30.72.58:https,30122
vs_cmjoin-t1.travelclick.net,10.30.72.223:http,1420
vs_cmjoin-t1.travelclick.net_443,10.30.72.223:https,1505
vs_cmlink-c1.travelclick.net_80,10.30.73.55:http,29
vs_cmlink-c1.travelclick.net_443,10.30.73.55:https,225
vs_cmlink-l1.travelclick.net_80,10.30.73.35:http,12868
vs_cmlink-l1.travelclick.net_443,10.30.73.35:https,41305
vs_cmlink-t1.travelclick.net,10.30.72.244:http,24606
vs_cmlink-t1.travelclick.net_443,10.30.72.244:https,24758
vs_cmprocapi-t1.travelclick.net,10.30.72.222:http,2426
vs_cmprocessapi-c1.travelclick.net_80,10.30.73.54:http,29
vs_cmprocessapi-c1.travelclick.net_443,10.30.73.54:https,275
vs_cmprocessapi-d1.travelclick.com,10.30.72.127:http,17220
vs_cmprocessapi-d1.travelclick.com_443,10.30.72.127:https,128534
vs_cmprocessapi-l1.travelclick.net_80,10.30.73.36:http,16313
vs_cmprocessapi-l1.travelclick.net_443,10.30.73.36:https,31267
vs_cmprocessapi-s1.travelclick.com_80,10.30.72.144:http,16824
vs_cmprocessapi-s1.travelclick.com_443,10.30.72.144:https,1614382
vs_cmprocessapi-t1.travelclick.net_443,10.30.72.186:https,915
vs_cmpullres-t1.travelclick.net,10.30.72.239:http,845
vs_cmpullres-t1.travelclick.net_443,10.30.72.239:https,944
vs_cmpushres-d1.travelclick.com_80,10.30.72.47:http,11953
vs_cmpushres-d1.travelclick.com_443,10.30.72.47:https,876
vs_cmpushres-s1.travelclick.com_80,10.30.72.52:http,12418
vs_cmpushres-s1.travelclick.com_443,10.30.72.52:https,16285
vs_cmpushres-t1.travelclick.net,10.30.72.240:http,15705
vs_cmpushres-t1.travelclick.net_443,10.30.72.240:https,15803
vs_cmreservations-t1.travelclick.net_443,10.30.72.199:https,2251
vs_cmrezadmin-c1.travelclick.net_80,10.30.73.53:http,31
vs_cmrezadmin-c1.travelclick.net_443,10.30.73.53:https,132
vs_cmrezadmin-l1.travelclick.net_80,10.30.73.37:http,12043
vs_cmrezadmin-l1.travelclick.net_443,10.30.73.37:https,19645
vs_cmrezadmin-s1.travelclick.com_80,10.30.72.56:http,29635
vs_cmrezadmin-s1.travelclick.com_443,10.30.72.56:https,29784
vs_cmrezadmin-t1.travelclick.net,10.30.72.241:http,18402
vs_cmrezadmin-t1.travelclick.net_443,10.30.72.241:https,18672
vs_cmroomrez-t1.travelclick.net_443,10.30.72.189:https,864
vs_cmservices-s1.travelclick.com_80,10.30.72.51:http,12366
vs_cmservices-s1.travelclick.com_443,10.30.72.51:https,16188
vs_cmstateapi-l1.travelclick.com_80,10.30.73.58:http,27886955
vs_cmstateapi-t4.travelclick.com_80,10.30.73.67:http,351594
vs_cmstateapi-t4.travelclick.com_443,10.30.73.67:https,38
vs_cmsubmitari-s1.travelclick.com_80,10.30.72.122:http,12153
vs_cmsubmitari-s1.travelclick.com_443,10.30.72.122:https,14760
vs_cmsubmitari-t1.travelclick.net_443,10.30.72.188:https,1359
vs_cmvalhalla-s1.travelclick.com_80,10.30.72.55:http,12423
vs_cmvalhalla-s1.travelclick.com_443,10.30.72.55:https,1283
vs_cmvalhalla-test.travelclick.com_80,10.30.72.39:http,1265
vs_cmvalhalla-test.travelclick.com_443,10.30.72.39:https,1060
vs_config-perf.travelclick.com,10.30.72.232:https,9916
vs_config-perf.travelclick.com_80,10.30.72.232:http,11986
vs_connect-l1.ihotelier.com_443,10.30.73.62:https,296573
vs_connect-p1.ihotelier.com_80,10.30.72.113:http,11690
vs_connect-p1.ihotelier.com_443,10.30.72.113:https,711
vs_connect-perf.ihotelier.com,10.30.72.175:http,478897
vs_console-p1.ihotelier.com_80,10.30.72.25:http,8264
vs_console-p1.ihotelier.com_443,10.30.72.25:https,18777
vs_console-perf.ihotelier.com_80,10.30.72.7:http,1573601
vs_console-perf.ihotelier.com_443,10.30.72.7:https,1631121
vs_corpaccmgmt-l1.travelclick.com,10.30.72.147:https,11648
vs_corpaccmgmt-p1.travelclick.com,10.30.72.153:https,27747
vs_demand-ee-advanced.travelclick.com,10.30.73.63:http,54432
vs_demand-ee-advanced.travelclick.com_443,10.30.73.63:https,2499495
vs_dev-hotels.roomrez.com_80,10.30.72.74:http,12412
vs_dev-hotels.roomrez.com_443,10.30.72.74:https,1406
vs_dev-tccm-api.ezyield.com_80,10.30.72.110:http,866
vs_dev_adminbi.travelclick.com_80,10.30.72.66:http,1123
vs_dev_adminbi.travelclick.com_443,10.30.72.66:https,1295
vs_dev_api.ezyield.com_80,10.30.72.69:http,16095
vs_dev_api.ezyield.com_443,10.30.72.69:https,12626
vs_dev_channelmanagement.travelclick.com_80,10.30.72.64:http,12623
vs_dev_channelmanagement.travelclick.com_443,10.30.72.64:https,19541
vs_dev_extranet.ezyield.com_80,10.30.72.68:http,12664
vs_dev_extranet.ezyield.com_443,10.30.72.68:https,20117
vs_dev_ht360.travelclick.com_80,10.30.72.67:http,1326
vs_dev_ht360.travelclick.com_443,10.30.72.67:https,12803
vs_dev_htb_cluster4_80,10.30.72.81:http,1277
vs_dev_htb_cluster4_443,10.30.72.81:https,1425
vs_dev_htb_cluster5_80,10.30.72.82:http,730
vs_dev_htb_cluster5_443,10.30.72.82:https,904
vs_dev_htb_cluster6_80,10.30.72.83:http,1176
vs_dev_htb_cluster6_443,10.30.72.83:https,1231
vs_dev_htb_cluster7_80,10.30.72.100:http,0
vs_dev_htb_cluster7_443,10.30.72.100:https,0
vs_dev_htb_cluster8_80,10.30.72.85:http,1264
vs_dev_htb_cluster8_443,10.30.72.85:https,1320
vs_dev_htb_grp2_443,10.30.72.91:https,9581
vs_dev_htb_grp3_80,10.30.72.93:http,16327
vs_dev_htb_grp3_443,10.30.72.93:https,16119
vs_dev_htb_grp4_80,10.30.72.94:http,8140
vs_dev_htb_grp4_443,10.30.72.94:https,839755
vs_dev_htb_grp5_20,10.30.72.76:ftp-data,971
vs_dev_htb_grp5_21,10.30.72.76:ftp,1156
vs_dev_htb_grp5_ftp,10.30.72.77:ftp,2070
vs_dev_htb_grp6_80,10.30.72.78:http,7503
vs_dev_htb_grp6_443,10.30.72.78:https,6414
vs_dev_htb_grp7_80,10.30.72.79:http,10075
vs_dev_htb_grp7_443,10.30.72.79:https,10229
vs_dev_htb_grp8_80,10.30.72.80:http,1237
vs_dev_htb_grp8_443,10.30.72.80:https,1293
vs_dev_htb_grp9_80,10.30.72.86:http,1295
vs_dev_htb_grp9_443,10.30.72.86:https,1372
vs_dev_ideas.ezyield.com_80,10.30.72.71:http,12352
vs_dev_ideas.ezyield.com_443,10.30.72.71:https,16839
vs_dev_identity-qts.travelclick.com_80,10.30.72.92:http,0
vs_dev_identity-qts.travelclick.com_443,10.30.72.92:https,38142
vs_dev_r360_80,10.30.72.65:http,1551
vs_dev_r360_443,10.30.72.65:https,1689
vs_dev_smo.travelclickdigital.com_443,10.30.72.96:https,2536
vs_dev_valhalla.ezyield.com_80,10.30.72.70:http,12490
vs_dev_valhalla.ezyield.com_443,10.30.72.70:https,17760
vs_dev_webservices.mvrateshop.com_80,10.30.72.89:http,7328
vs_dev_webservices.mvrateshop.com_443,10.30.72.89:https,7522
vs_dev_www.mvrateshop.com_80,10.30.72.87:http,7454
vs_dev_www.mvrateshop.com_443,10.30.72.87:https,7676
vs_ebs.travelclick.com_80,10.30.72.249:http,37
vs_ebs.travelclick.com_443,10.30.72.249:https,41
vs_emari-mgmt-api.travelclick.com_80,10.30.72.229:http,9431
vs_emari-mgmt-api.travelclick.com_443,10.30.72.229:https,9560
vs_emari-mgmt-p1.travelclick.com_80,10.30.72.183:http,11944
vs_emari-mgmt-p1.travelclick.com_443,10.30.72.183:https,4390
vs_emari-mgmt-perf.travelclick.com_80,10.30.72.228:http,1152
vs_emari-mgmt-perf.travelclick.com_443,10.30.72.228:https,1166
vs_emariapi-p1.travelclick.com_80,10.30.72.185:http,11988
vs_emariapi-p1.travelclick.com_443,10.30.72.185:https,8065
vs_federated-portal-p1.travelclick.com_80,10.30.72.213:http,12669
vs_federated-portal-p1.travelclick.com_443,10.30.72.213:https,7799
vs_gap-api-perf.ihotelier.com_80,10.30.72.11:http,12094
vs_gap-api-perf.ihotelier.com_443,10.30.72.11:https,9810
vs_git-test-dc.travelclick.com_443,10.30.73.49:https,1067
vs_git-test-dc.travelclick.com_7999,10.30.73.49:irdmi2,0
vs_guestmanagement-survey.travelclick.com_80,10.30.72.193:http,1007
vs_guestmanagement-survey.travelclick.com_443,10.30.72.193:https,1605
vs_habdepl01-d1.gain.tcprod.local_443,10.30.73.61:https,0
vs_hcp2.travelclick.com_80,10.30.72.211:http,12645
vs_hcp2.travelclick.com_443,10.30.72.211:https,7727427
vs_hcp.travelclick.net_80,10.30.72.210:http,12601
vs_hcp.travelclick.net_443,10.30.72.210:https,666203088
vs_hotelligence360-dev.travelclick_80,10.30.73.101:http,450
vs_hotelligence360-dev.travelclick_443,10.30.73.101:https,282
vs_hotelligence360-qa.travelclick_80,10.30.73.102:http,371
vs_hotelligence360-qa.travelclick_443,10.30.73.102:https,43
vs_hotels.roomrez.com_443,10.30.72.158:https,2157
vs_ht360-demo11g.travelclick.com_80,10.30.72.156:http,2986864
vs_ht360-demo11g.travelclick.com_443,10.30.72.156:https,10851471
vs_ht360-demo.travelclick.com_443,10.30.72.162:https,1412
vs_ht360-marketingreccomender-stage.travelclick.com_80,10.30.72.235:http,12126
vs_ht360-marketingreccomender-stage.travelclick.com_443,10.30.72.235:https,12286
vs_ht360-preprod.travelclick.com,10.30.72.143:http,30486
vs_ht360-preprod.travelclick.com_443,10.30.72.143:https,15039
vs_ht360-stage11g.travelclick.com_80,10.30.72.132:http,2878324
vs_ht360-stage11g.travelclick.com_443,10.30.72.132:https,9129946
vs_ht360-uat11g.travelclick.com_80,10.30.72.133:http,1683159
vs_ht360-uat11g.travelclick.com_443,10.30.72.133:https,6656730
vs_htb_cluster10_80,10.30.72.245:http,16371
vs_htb_cluster10_443,10.30.72.245:https,16573
vs_htb_dev_grp2_80,10.30.72.91:http,9347
vs_htb_grp1_80,10.30.72.90:http,10056
vs_htb_grp1_443,10.30.72.90:https,10196
vs_htbperf.travelclick.com_80,10.30.72.124:http,1528469
vs_htbperf.travelclick.com_443,10.30.72.124:https,1402636
vs_i18n-admin-l1.travelclick.com_80,10.30.72.146:http,12414
vs_i18n-admin-l1.travelclick.com_443,10.30.72.146:https,9755
vs_i18n-admin-p1.travelclick.com_80,10.30.72.108:http,11873
vs_i18n-admin-p1.travelclick.com_443,10.30.72.108:https,9151
vs_identity11g-stage.travelclick.com_80,10.30.72.155:http,0
vs_identity11g-stage.travelclick.com_443,10.30.72.155:https,2860698
vs_identity-demo.travelclick.com_80,10.30.72.121:http,0
vs_identity-demo.travelclick.com_443,10.30.72.121:https,2207233
vs_identity-devtest.travelclick.com_80,10.30.72.216:http,12359
vs_identity-devtest.travelclick.com_443,10.30.72.216:https,25076
vs_identity-perf.travelclick.com_80,10.30.72.63:http,1519586
vs_identity-perf.travelclick.com_443,10.30.72.63:https,1419682
vs_identity-stage.travelclick.com_443,10.30.72.220:https,3481215
vs_ihentrateapi-l1.travelclick.com_443,10.30.72.181:https,14008
vs_ihentrateapi-p1.travelclick.com_443,10.30.72.180:https,46453
vs_ihmetric-l1.ihotelier.com,10.30.72.130:https,2937
vs_ihonboardingapi-p1.travelclick.com_80,10.30.72.148:http,12107
vs_ihonboardingapi-p1.travelclick.com_443,10.30.72.148:https,48378
vs_ihonboardingapi-perf.travelclick.com_80,10.30.72.149:http,12072
vs_ihonboardingapi-perf.travelclick.com_443,10.30.72.149:https,14344
vs_ihos-p1.ihotelier.com_80,10.30.72.114:http,0
vs_ihos-p1.ihotelier.com_443,10.30.72.114:https,0
vs_ihproductapi-p1.travelclick.com_80,10.30.72.184:http,11962
vs_ihproductapi-p1.travelclick.com_443,10.30.72.184:https,9310
vs_ihproductapi-perf.travelclick.com_80,10.30.72.227:http,9931
vs_ihproductapi-perf.travelclick.com_443,10.30.72.227:https,9820
vs_ihservice-mgmtapi-p1.travelclick.com_80,10.30.72.212:http,12362
vs_ihservice-mgmtapi-p1.travelclick.com_443,10.30.72.212:https,10113
vs_ihservice-mgmtapi-perf_80,10.30.72.169:http,12199
vs_ihservice-mgmtapi-perf_443,10.30.72.169:https,9503
vs_imanager-p1.ihotelier.com_80,10.30.72.17:http,1571536
vs_imanager-p1.ihotelier.com_443,10.30.72.17:https,1446472
vs_imanager-perf.ihotelier.com_80,10.30.72.14:http,16907
vs_imanager-perf.ihotelier.com_443,10.30.72.14:https,23797
vs_insite-d2.travelclick.com_80,10.30.72.72:http,12348
vs_insite-d2.travelclick.com_443,10.30.72.72:https,9971
vs_insite-t2.travelclick.com_80,10.30.72.73:http,1740792
vs_insite-t2.travelclick.com_443,10.30.72.73:https,1413639
vs_internal-kube-gain-d1.travelclick.com_80,10.30.73.100:http,128265
vs_internal-kube-gain-d1.travelclick.com_443,10.30.73.100:https,190645
vs_internal-kube-gain-l1.travelclick.com_80,10.30.73.110:http,21
vs_internal-kube-gain-l1.travelclick.com_443,10.30.73.110:https,160218
vs_istio-ingress-gain-d1.travelclick.com_80,10.30.72.251:http,16
